"BehaviorSpace results (NetLogo 6.2.1)"
"Combined 4.1.nlogo"
"experiment"
"01/18/2022 16:27:47:328 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Technology","Separation-at-home","nmbr-weeks-pickup-pmd","general-regionbin-size","number-of-households","nmbr-weeks-pickup-gen","pmd-regionbin-size","[step]","recycle-ratio"
"2","Basic","true","2","250","26","2","275","56","0.3745617471460523"
"4","Basic","true","2","350","26","2","275","59","0.37936883037074287"
"3","Basic","true","2","300","26","2","275","33","0.3240289151622787"
"4","Basic","true","2","350","26","2","275","60","0.32416845410865325"
"2","Basic","true","2","250","26","2","275","57","0.3745617471460523"
"4","Basic","true","2","350","26","2","275","61","0.32416845410865325"
"3","Basic","true","2","300","26","2","275","34","0.3981461826562786"
"2","Basic","true","2","250","26","2","275","58","0.31489570063992434"
"4","Basic","true","2","350","26","2","275","62","0.3013717994603571"
"3","Basic","true","2","300","26","2","275","35","0.3981461826562786"
"4","Basic","true","2","350","26","2","275","63","0.3013717994603571"
"2","Basic","true","2","250","26","2","275","59","0.31489570063992434"
"3","Basic","true","2","300","26","2","275","36","0.3059491917057712"
"4","Basic","true","2","350","26","2","275","64","0.3191637475021823"
"2","Basic","true","2","250","26","2","275","60","0.3314532189096382"
"3","Basic","true","2","300","26","2","275","37","0.3059491917057712"
"4","Basic","true","2","350","26","2","275","65","0.3191637475021823"
"2","Basic","true","2","250","26","2","275","61","0.3314532189096382"
"4","Basic","true","2","350","26","2","275","66","0.3191637475021823"
"3","Basic","true","2","300","26","2","275","38","0.3096359328769281"
"1","Basic","true","2","200","26","2","275","20","0.4336937078162782"
"1","Basic","true","2","200","26","2","275","21","0.4336937078162782"
"3","Basic","true","2","300","26","2","275","39","0.3096359328769281"
"4","Basic","true","2","350","26","2","275","67","0.3191637475021823"
"3","Basic","true","2","300","26","2","275","40","0.34696285727656023"
"4","Basic","true","2","350","26","2","275","68","0.3837016468415632"
"1","Basic","true","2","200","26","2","275","22","0.34171408888770777"
"3","Basic","true","2","300","26","2","275","41","0.34696285727656023"
"3","Basic","true","2","300","26","2","275","42","0.3034624372469231"
"1","Basic","true","2","200","26","2","275","23","0.34171408888770777"
"2","Basic","true","2","250","26","2","275","62","0.3314532189096382"
"3","Basic","true","2","300","26","2","275","43","0.3034624372469231"
"3","Basic","true","2","300","26","2","275","44","0.3268667427300353"
"2","Basic","true","2","250","26","2","275","63","0.3314532189096382"
"3","Basic","true","2","300","26","2","275","45","0.3268667427300353"
"2","Basic","true","2","250","26","2","275","64","0.3314532189096382"
"3","Basic","true","2","300","26","2","275","46","0.36750046442377654"
"1","Basic","true","2","200","26","2","275","24","0.34171408888770777"
"2","Basic","true","2","250","26","2","275","65","0.3314532189096382"
"3","Basic","true","2","300","26","2","275","47","0.36750046442377654"
"2","Basic","true","2","250","26","2","275","66","0.331641432476784"
"3","Basic","true","2","300","26","2","275","48","0.36195761498140994"
"2","Basic","true","2","250","26","2","275","67","0.331641432476784"
"3","Basic","true","2","300","26","2","275","49","0.36195761498140994"
"2","Basic","true","2","250","26","2","275","68","0.331641432476784"
"3","Basic","true","2","300","26","2","275","50","0.36195761498140994"
"2","Basic","true","2","250","26","2","275","69","0.331641432476784"
"3","Basic","true","2","300","26","2","275","51","0.36195761498140994"
"2","Basic","true","2","250","26","2","275","70","0.331641432476784"
"4","Basic","true","2","350","26","2","275","69","0.3837016468415632"
"3","Basic","true","2","300","26","2","275","52","0.36858183178668436"
"2","Basic","true","2","250","26","2","275","71","0.331641432476784"
"3","Basic","true","2","300","26","2","275","53","0.36858183178668436"
"2","Basic","true","2","250","26","2","275","72","0.3325596392014381"
"4","Basic","true","2","350","26","2","275","70","0.30672736340836015"
"3","Basic","true","2","300","26","2","275","54","0.3172500058454814"
"2","Basic","true","2","250","26","2","275","73","0.3325596392014381"
"4","Basic","true","2","350","26","2","275","71","0.30672736340836015"
"3","Basic","true","2","300","26","2","275","55","0.3172500058454814"
"2","Basic","true","2","250","26","2","275","74","0.3325596392014381"
"4","Basic","true","2","350","26","2","275","72","0.30672736340836015"
"2","Basic","true","2","250","26","2","275","75","0.3325596392014381"
"4","Basic","true","2","350","26","2","275","73","0.30672736340836015"
"3","Basic","true","2","300","26","2","275","56","0.2932428346637787"
"4","Basic","true","2","350","26","2","275","74","0.31605555527427587"
"2","Basic","true","2","250","26","2","275","76","0.3773243049179949"
"4","Basic","true","2","350","26","2","275","75","0.31605555527427587"
"2","Basic","true","2","250","26","2","275","77","0.3773243049179949"
"4","Basic","true","2","350","26","2","275","76","0.383582631936243"
"2","Basic","true","2","250","26","2","275","78","0.329523734680845"
"4","Basic","true","2","350","26","2","275","77","0.383582631936243"
"2","Basic","true","2","250","26","2","275","79","0.329523734680845"
"4","Basic","true","2","350","26","2","275","78","0.31093451398073174"
"2","Basic","true","2","250","26","2","275","80","0.33355359491014264"
"4","Basic","true","2","350","26","2","275","79","0.31093451398073174"
"4","Basic","true","2","350","26","2","275","80","0.2899217132576159"
"2","Basic","true","2","250","26","2","275","81","0.33355359491014264"
"4","Basic","true","2","350","26","2","275","81","0.2899217132576159"
"2","Basic","true","2","250","26","2","275","82","0.33260029645390377"
"2","Basic","true","2","250","26","2","275","83","0.33260029645390377"
"4","Basic","true","2","350","26","2","275","82","0.3497797441264387"
"1","Basic","true","2","200","26","2","275","25","0.34171408888770777"
"4","Basic","true","2","350","26","2","275","83","0.3497797441264387"
"3","Basic","true","2","300","26","2","275","57","0.2932428346637787"
"2","Basic","true","2","250","26","2","275","84","0.30385942768729113"
"4","Basic","true","2","350","26","2","275","84","0.3497797441264387"
"4","Basic","true","2","350","26","2","275","85","0.3497797441264387"
"2","Basic","true","2","250","26","2","275","85","0.30385942768729113"
"1","Basic","true","2","200","26","2","275","26","0.34062020385404074"
"4","Basic","true","2","350","26","2","275","86","0.3497797441264387"
"2","Basic","true","2","250","26","2","275","86","0.30385942768729113"
"1","Basic","true","2","200","26","2","275","27","0.34062020385404074"
"4","Basic","true","2","350","26","2","275","87","0.3497797441264387"
"2","Basic","true","2","250","26","2","275","87","0.30385942768729113"
"4","Basic","true","2","350","26","2","275","88","0.3572203479044818"
"2","Basic","true","2","250","26","2","275","88","0.30009987620716183"
"1","Basic","true","2","200","26","2","275","28","0.36207250746361697"
"2","Basic","true","2","250","26","2","275","89","0.30009987620716183"
"4","Basic","true","2","350","26","2","275","89","0.3572203479044818"
"4","Basic","true","2","350","26","2","275","90","0.38668262706545053"
"2","Basic","true","2","250","26","2","275","90","0.33064104107172687"
"3","Basic","true","2","300","26","2","275","58","0.2955216146014792"
"4","Basic","true","2","350","26","2","275","91","0.38668262706545053"
"2","Basic","true","2","250","26","2","275","91","0.33064104107172687"
"3","Basic","true","2","300","26","2","275","59","0.2955216146014792"
"1","Basic","true","2","200","26","2","275","29","0.36207250746361697"
"3","Basic","true","2","300","26","2","275","60","0.39130850364373265"
"2","Basic","true","2","250","26","2","275","92","0.3346355085107796"
"4","Basic","true","2","350","26","2","275","92","0.38668262706545053"
"3","Basic","true","2","300","26","2","275","61","0.39130850364373265"
"4","Basic","true","2","350","26","2","275","93","0.38668262706545053"
"1","Basic","true","2","200","26","2","275","30","0.36207250746361697"
"4","Basic","true","2","350","26","2","275","94","0.38668262706545053"
"3","Basic","true","2","300","26","2","275","62","0.39130850364373265"
"4","Basic","true","2","350","26","2","275","95","0.38668262706545053"
"3","Basic","true","2","300","26","2","275","63","0.39130850364373265"
"4","Basic","true","2","350","26","2","275","96","0.3566153492276381"
"1","Basic","true","2","200","26","2","275","31","0.36207250746361697"
"4","Basic","true","2","350","26","2","275","97","0.3566153492276381"
"3","Basic","true","2","300","26","2","275","64","0.27682575240723484"
"1","Basic","true","2","200","26","2","275","32","0.36207250746361697"
"3","Basic","true","2","300","26","2","275","65","0.27682575240723484"
"4","Basic","true","2","350","26","2","275","98","0.3571518788449553"
"4","Basic","true","2","350","26","2","275","99","0.3571518788449553"
"3","Basic","true","2","300","26","2","275","66","0.3603871564217261"
"2","Basic","true","2","250","26","2","275","93","0.3346355085107796"
"3","Basic","true","2","300","26","2","275","67","0.3603871564217261"
"3","Basic","true","2","300","26","2","275","68","0.36125691942488086"
"4","Basic","true","2","350","26","2","275","100","0.27415659261429753"
"3","Basic","true","2","300","26","2","275","69","0.36125691942488086"
"4","Basic","true","2","350","26","2","275","101","0.27415659261429753"
"4","Basic","true","2","350","26","2","275","102","0.35445826646243545"
"3","Basic","true","2","300","26","2","275","70","0.3280108810190645"
"2","Basic","true","2","250","26","2","275","94","0.3346355085107796"
"2","Basic","true","2","250","26","2","275","95","0.3346355085107796"
"4","Basic","true","2","350","26","2","275","103","0.35445826646243545"
"3","Basic","true","2","300","26","2","275","71","0.3280108810190645"
"4","Basic","true","2","350","26","2","275","104","0.30113114727949297"
"3","Basic","true","2","300","26","2","275","72","0.366456165013402"
"1","Basic","true","2","200","26","2","275","33","0.36207250746361697"
"4","Basic","true","2","350","26","2","275","105","0.30113114727949297"
"3","Basic","true","2","300","26","2","275","73","0.366456165013402"
"2","Basic","true","2","250","26","2","275","96","0.3097430838336797"
"3","Basic","true","2","300","26","2","275","74","0.32799237457838565"
"4","Basic","true","2","350","26","2","275","106","0.35094973277602454"
"4","Basic","true","2","350","26","2","275","107","0.35094973277602454"
"3","Basic","true","2","300","26","2","275","75","0.32799237457838565"
"1","Basic","true","2","200","26","2","275","34","0.31695703758645116"
"2","Basic","true","2","250","26","2","275","97","0.3097430838336797"
"4","Basic","true","2","350","26","2","275","108","0.35094973277602454"
"3","Basic","true","2","300","26","2","275","76","0.3158573464522224"
"4","Basic","true","2","350","26","2","275","109","0.35094973277602454"
"1","Basic","true","2","200","26","2","275","35","0.31695703758645116"
"3","Basic","true","2","300","26","2","275","77","0.3158573464522224"
"2","Basic","true","2","250","26","2","275","98","0.3097430838336797"
"3","Basic","true","2","300","26","2","275","78","0.3623561755383807"
"2","Basic","true","2","250","26","2","275","99","0.3097430838336797"
"1","Basic","true","2","200","26","2","275","36","0.34349386482584277"
"2","Basic","true","2","250","26","2","275","100","0.33358814204648457"
"3","Basic","true","2","300","26","2","275","79","0.3623561755383807"
"2","Basic","true","2","250","26","2","275","101","0.33358814204648457"
"3","Basic","true","2","300","26","2","275","80","0.3594419606512647"
"2","Basic","true","2","250","26","2","275","102","0.33358814204648457"
"3","Basic","true","2","300","26","2","275","81","0.3594419606512647"
"2","Basic","true","2","250","26","2","275","103","0.33358814204648457"
"3","Basic","true","2","300","26","2","275","82","0.3594419606512647"
"2","Basic","true","2","250","26","2","275","104","0.33358814204648457"
"1","Basic","true","2","200","26","2","275","37","0.34349386482584277"
"4","Basic","true","2","350","26","2","275","110","0.35094973277602454"
"2","Basic","true","2","250","26","2","275","105","0.33358814204648457"
"3","Basic","true","2","300","26","2","275","83","0.3594419606512647"
"4","Basic","true","2","350","26","2","275","111","0.35094973277602454"
"3","Basic","true","2","300","26","2","275","84","0.3245919953944783"
"2","Basic","true","2","250","26","2","275","106","0.33260605958535927"
"3","Basic","true","2","300","26","2","275","85","0.3245919953944783"
"4","Basic","true","2","350","26","2","275","112","0.34940018361833747"
"4","Basic","true","2","350","26","2","275","113","0.34940018361833747"
"1","Basic","true","2","200","26","2","275","38","0.34349386482584277"
"2","Basic","true","2","250","26","2","275","107","0.33260605958535927"
"3","Basic","true","2","300","26","2","275","86","0.3245919953944783"
"4","Basic","true","2","350","26","2","275","114","0.31950326727805534"
"2","Basic","true","2","250","26","2","275","108","0.33144500277880673"
"3","Basic","true","2","300","26","2","275","87","0.3245919953944783"
"4","Basic","true","2","350","26","2","275","115","0.31950326727805534"
"2","Basic","true","2","250","26","2","275","109","0.33144500277880673"
"4","Basic","true","2","350","26","2","275","116","0.31950326727805534"
"3","Basic","true","2","300","26","2","275","88","0.39335172165960985"
"2","Basic","true","2","250","26","2","275","110","0.33144500277880673"
"4","Basic","true","2","350","26","2","275","117","0.31950326727805534"
"3","Basic","true","2","300","26","2","275","89","0.39335172165960985"
"1","Basic","true","2","200","26","2","275","39","0.34349386482584277"
"2","Basic","true","2","250","26","2","275","111","0.33144500277880673"
"4","Basic","true","2","350","26","2","275","118","0.31950326727805534"
"3","Basic","true","2","300","26","2","275","90","0.36411474146107997"
"4","Basic","true","2","350","26","2","275","119","0.31950326727805534"
"1","Basic","true","2","200","26","2","275","40","0.34349386482584277"
"3","Basic","true","2","300","26","2","275","91","0.36411474146107997"
"2","Basic","true","2","250","26","2","275","112","0.28625444875215755"
"4","Basic","true","2","350","26","2","275","120","0.3391864449258897"
"2","Basic","true","2","250","26","2","275","113","0.28625444875215755"
"4","Basic","true","2","350","26","2","275","121","0.3391864449258897"
"2","Basic","true","2","250","26","2","275","114","0.28625444875215755"
"1","Basic","true","2","200","26","2","275","41","0.34349386482584277"
"3","Basic","true","2","300","26","2","275","92","0.325330375175206"
"4","Basic","true","2","350","26","2","275","122","0.28356890493550013"
"2","Basic","true","2","250","26","2","275","115","0.28625444875215755"
"4","Basic","true","2","350","26","2","275","123","0.28356890493550013"
"2","Basic","true","2","250","26","2","275","116","0.28625444875215755"
"1","Basic","true","2","200","26","2","275","42","0.34165119643889924"
"4","Basic","true","2","350","26","2","275","124","0.3196146551238488"
"2","Basic","true","2","250","26","2","275","117","0.28625444875215755"
"2","Basic","true","2","250","26","2","275","118","0.28625444875215755"
"4","Basic","true","2","350","26","2","275","125","0.3196146551238488"
"2","Basic","true","2","250","26","2","275","119","0.28625444875215755"
"4","Basic","true","2","350","26","2","275","126","0.3205796314616715"
"2","Basic","true","2","250","26","2","275","120","0.33110063834358083"
"4","Basic","true","2","350","26","2","275","127","0.3205796314616715"
"4","Basic","true","2","350","26","2","275","128","0.35139421752016375"
"2","Basic","true","2","250","26","2","275","121","0.33110063834358083"
"4","Basic","true","2","350","26","2","275","129","0.35139421752016375"
"2","Basic","true","2","250","26","2","275","122","0.37272865564134583"
"3","Basic","true","2","300","26","2","275","93","0.325330375175206"
"4","Basic","true","2","350","26","2","275","130","0.35139421752016375"
"1","Basic","true","2","200","26","2","275","43","0.34165119643889924"
"2","Basic","true","2","250","26","2","275","123","0.37272865564134583"
"4","Basic","true","2","350","26","2","275","131","0.35139421752016375"
"2","Basic","true","2","250","26","2","275","124","0.33408897436681956"
"4","Basic","true","2","350","26","2","275","132","0.35139421752016375"
"3","Basic","true","2","300","26","2","275","94","0.325330375175206"
"2","Basic","true","2","250","26","2","275","125","0.33408897436681956"
"4","Basic","true","2","350","26","2","275","133","0.35139421752016375"
"3","Basic","true","2","300","26","2","275","95","0.325330375175206"
"2","Basic","true","2","250","26","2","275","126","0.32912673383756325"
"4","Basic","true","2","350","26","2","275","134","0.3863451259327397"
